Competition,Matchday,Date,Time,Home Team,Ranking Home Team,Away Team,Ranking Away Team,Attendance,Result,Weather,Temperature (°C)
Jupiler Pro League,1,Sun 28/07/19,2:30 PM,RSC Anderlecht,(8.),KV Oostende,(15.),19.000,1:2,Partly cloudy,18.1
Jupiler Pro League,2,Sun 04/08/19,6:00 PM,Mouscron,(7.),RSC Anderlecht,(10.),8.257,0:0,None,None
Jupiler Pro League,3,Fri 09/08/19,8:30 PM,RSC Anderlecht,(11.),KV Mechelen,(4.),19.000,0:0,Partly cloudy,22.5
Jupiler Pro League,4,Sat 17/08/19,6:00 PM,KV Kortrijk,(9.),RSC Anderlecht,(13.),8.326,4:2,None,None
Jupiler Pro League,5,Fri 23/08/19,8:30 PM,Genk,(8.),RSC Anderlecht,(13.),22.105,1:0,Partly cloudy,22.7
Jupiler Pro League,6,Sun 01/09/19,6:00 PM,RSC Anderlecht,(14.),Standard Liège,(1.),19.500,1:0,Partly cloudy,19.2
Jupiler Pro League,7,Sun 15/09/19,2:30 PM,RSC Anderlecht,(13.),Royal Antwerp,(2.),20.000,1:2,Clear or mostly clear,22.4
Jupiler Pro League,8,Sun 22/09/19,6:00 PM,Club Brugge,(3.),RSC Anderlecht,(13.),26.243,2:1,Drizzle,18.3
Croky Cup,Sixth Round,Wed 25/09/19,8:45 PM,Beerschot VA,,RSC Anderlecht,,11.500,2:3AET,None,None
Jupiler Pro League,9,Sun 29/09/19,2:30 PM,RSC Anderlecht,(13.),Waasland-Beveren,(15.),18.716,0:0,Partly cloudy,16.2
Jupiler Pro League,10,Fri 04/10/19,8:30 PM,R Charleroi SC,(8.),RSC Anderlecht,(13.),13.332,1:2,Drizzle,12.6
Jupiler Pro League,11,Sun 20/10/19,6:00 PM,RSC Anderlecht,(13.),Sint-Truiden,(10.),18.949,4:1,Partly cloudy,12.1
Jupiler Pro League,12,Fri 25/10/19,8:30 PM,KAS Eupen,(14.),RSC Anderlecht,(11.),5.833,0:0,None,None
Jupiler Pro League,13,Thu 31/10/19,8:30 PM,RSC Anderlecht,(11.),KAA Gent,(5.),21.500,3:3,Partly cloudy,5.8
Jupiler Pro League,14,Sun 03/11/19,2:30 PM,RSC Anderlecht,(12.),Cercle Brugge,(16.),19.000,2:1,Drizzle,11.7
Jupiler Pro League,15,Fri 08/11/19,8:30 PM,Zulte Waregem,(7.),RSC Anderlecht,(11.),10.068,1:2,Partly cloudy,6.0
Jupiler Pro League,16,Sun 24/11/19,6:00 PM,RSC Anderlecht,(10.),KV Kortrijk,(13.),19.503,0:0,Partly cloudy,8.9
Jupiler Pro League,17,Sun 01/12/19,2:30 PM,KV Oostende,(14.),RSC Anderlecht,(10.),6.079,3:2,None,None
Croky Cup,Round of 16,Thu 05/12/19,8:45 PM,Mouscron,,RSC Anderlecht,,5.190,2:3,None,None
Jupiler Pro League,18,Sun 08/12/19,6:00 PM,RSC Anderlecht,(11.),R Charleroi SC,(4.),19.000,0:0,Clear or mostly clear,9.0
Jupiler Pro League,19,Sun 15/12/19,2:30 PM,Standard Liège,(3.),RSC Anderlecht,(11.),26.972,1:1,Partly cloudy,8.5
Croky Cup,Quarter-Finals,Thu 19/12/19,8:45 PM,RSC Anderlecht,,Club Brugge,,20.000,0:2,Partly cloudy,13.7
Jupiler Pro League,20,Sun 22/12/19,6:00 PM,RSC Anderlecht,(10.),Genk,(7.),19.000,2:0,Drizzle,7.7
Jupiler Pro League,21,Fri 27/12/19,8:30 PM,Royal Antwerp,(2.),RSC Anderlecht,(10.),15.073,0:0,Partly cloudy,5.2
Jupiler Pro League,22,Sun 19/01/20,6:00 PM,RSC Anderlecht,(9.),Club Brugge,(1.),20.000,1:2,Clear or mostly clear,4.8
Jupiler Pro League,23,Sun 26/01/20,2:30 PM,Cercle Brugge,(16.),RSC Anderlecht,(9.),5.192,1:2,Partly cloudy,6.8
Jupiler Pro League,24,Sun 02/02/20,6:00 PM,RSC Anderlecht,(9.),Mouscron,(11.),18.000,1:0,Partly cloudy,11.6
Jupiler Pro League,25,Fri 07/02/20,8:30 PM,KAA Gent,(2.),RSC Anderlecht,(9.),19.999,1:1,Partly cloudy,6.1
Jupiler Pro League,26,Sat 15/02/20,8:30 PM,KV Mechelen,(8.),RSC Anderlecht,(9.),16.500,2:0,Drizzle,12.0
Jupiler Pro League,27,Sun 23/02/20,6:00 PM,RSC Anderlecht,(9.),KAS Eupen,(13.),20.000,6:1,Drizzle,11.9
Jupiler Pro League,28,Sat 29/02/20,6:00 PM,Waasland-Beveren,(16.),RSC Anderlecht,(8.),7.253,0:3,None,None
Jupiler Pro League,29,Sat 07/03/20,8:00 PM,RSC Anderlecht,(8.),Zulte Waregem,(9.),,7:0,Partly cloudy,7.8
Jupiler Pro League,1,Sun 09/08/20,6:15 PM,KV Mechelen,(8.),RSC Anderlecht,(3.),x,2:2,Partly cloudy,31.9
Jupiler Pro League,2,Sun 16/08/20,6:15 PM,RSC Anderlecht,(8.),Sint-Truiden,(3.),x,3:1,Drizzle,22.0
Jupiler Pro League,3,Sun 23/08/20,6:15 PM,RSC Anderlecht,(4.),Mouscron,(14.),x,1:1,Partly cloudy,19.7
Jupiler Pro League,4,Fri 28/08/20,8:45 PM,KV Oostende,(17.),RSC Anderlecht,(5.),x,2:2,None,None
Jupiler Pro League,5,Sun 13/09/20,1:30 PM,RSC Anderlecht,(8.),Cercle Brugge,(7.),6.000,2:0,Clear or mostly clear,20.7
Jupiler Pro League,6,Sat 19/09/20,8:45 PM,Waasland-Beveren,(17.),RSC Anderlecht,(6.),1.800,2:4,None,None
Jupiler Pro League,7,Sun 27/09/20,4:00 PM,RSC Anderlecht,(5.),KAS Eupen,(12.),6.000,1:1,Partly cloudy,14.2
Jupiler Pro League,8,Sun 04/10/20,1:30 PM,Club Brugge,(2.),RSC Anderlecht,(5.),9.000,3:0,Drizzle,12.4
Jupiler Pro League,9,Sun 18/10/20,8:30 PM,RSC Anderlecht,(7.),OH Leuven,(6.),5.500,2:2,Partly cloudy,10.1
Jupiler Pro League,10,Fri 23/10/20,8:45 PM,KV Kortrijk,(8.),RSC Anderlecht,(9.),x,1:3,None,None
Jupiler Pro League,11,Sun 01/11/20,1:30 PM,RSC Anderlecht,(7.),Royal Antwerp,(1.),x,1:0,Drizzle,16.6
Jupiler Pro League,12,Sun 08/11/20,6:15 PM,KAA Gent,(12.),RSC Anderlecht,(6.),x,1:1,Partly cloudy,13.7
Jupiler Pro League,13,Sun 22/11/20,1:30 PM,Beerschot VA,(3.),RSC Anderlecht,(8.),x,2:1,None,None
Jupiler Pro League,14,Sun 29/11/20,6:15 PM,RSC Anderlecht,(8.),Standard Liège,(5.),x,0:0,Partly cloudy,2.7
Jupiler Pro League,15,Fri 04/12/20,8:45 PM,Zulte Waregem,(14.),RSC Anderlecht,(8.),x,2:2,Clear or mostly clear,4.1
Jupiler Pro League,16,Fri 11/12/20,8:45 PM,RSC Anderlecht,(8.),Genk,(1.),x,1:0,Partly cloudy,7.7
Jupiler Pro League,18,Tue 15/12/20,9:00 PM,RSC Anderlecht,(7.),KV Oostende,(9.),x,2:1,Clear or mostly clear,7.2
Jupiler Pro League,17,Fri 18/12/20,8:45 PM,R Charleroi SC,(5.),RSC Anderlecht,(6.),x,1:0,Clear or mostly clear,7.5
Jupiler Pro League,19,Sun 27/12/20,6:15 PM,RSC Anderlecht,(6.),Beerschot VA,(4.),x,2:0,Rainy,4.4
Jupiler Pro League,30,Sun 10/01/21,6:15 PM,OH Leuven,(8.),RSC Anderlecht,(4.),x,1:0,Clear or mostly clear,0.4
Jupiler Pro League,20,Fri 15/01/21,8:45 PM,KAS Eupen,(13.),RSC Anderlecht,(4.),x,2:0,None,None
Jupiler Pro League,25,Tue 19/01/21,9:00 PM,RSC Anderlecht,(5.),R Charleroi SC,(4.),x,3:0,Partly cloudy,6.6
Jupiler Pro League,21,Fri 22/01/21,8:45 PM,RSC Anderlecht,(5.),Waasland-Beveren,(18.),x,0:0,Partly cloudy,2.1
Jupiler Pro League,22,Tue 26/01/21,9:00 PM,Mouscron,(16.),RSC Anderlecht,(5.),x,1:1,None,None
Jupiler Pro League,23,Sun 31/01/21,6:15 PM,RSC Anderlecht,(5.),KAA Gent,(10.),x,0:0,Drizzle,3.0
Croky Cup,Sixth Round,Wed 03/02/21,9:15 PM,RFC Lüttich,,RSC Anderlecht,,x,0:2,None,None
Jupiler Pro League,24,Sun 07/02/21,6:15 PM,Genk,(2.),RSC Anderlecht,(6.),x,1:2,Partly cloudy,-2.5
Croky Cup,Round of 16,Thu 11/02/21,8:45 PM,Union SG,,RSC Anderlecht,,x,0:5,Clear or mostly clear,-4.2
Jupiler Pro League,26,Sun 14/02/21,8:45 PM,Cercle Brugge,(17.),RSC Anderlecht,(4.),x,0:0,Partly cloudy,1.9
Jupiler Pro League,27,Sun 21/02/21,1:30 PM,RSC Anderlecht,(4.),KV Kortrijk,(14.),x,0:2,Clear or mostly clear,14.9
Jupiler Pro League,28,Sun 28/02/21,1:30 PM,Standard Liège,(11.),RSC Anderlecht,(4.),x,1:3,Clear or mostly clear,8.7
Croky Cup,Quarter-Finals,Wed 03/03/21,8:45 PM,RSC Anderlecht,,Cercle Brugge,,x,1:0,Partly cloudy,8.9
Jupiler Pro League,29,Sun 07/03/21,6:15 PM,RSC Anderlecht,(4.),KV Mechelen,(10.),x,1:1,Partly cloudy,5.0
Croky Cup,Semi-Finals,Sun 14/03/21,8:45 PM,RSC Anderlecht,,Genk,,x,1:2,Partly cloudy,6.7
Jupiler Pro League,31,Sun 21/03/21,6:15 PM,RSC Anderlecht,(5.),Zulte Waregem,(8.),x,4:1,Partly cloudy,6.6
Jupiler Pro League,32,Mon 05/04/21,6:15 PM,Royal Antwerp,(2.),RSC Anderlecht,(5.),x,1:4,Snowy,3.6
Jupiler Pro League,33,Sun 11/04/21,6:15 PM,RSC Anderlecht,(4.),Club Brugge,(1.),x,2:1,Clear or mostly clear,7.0
Jupiler Pro League,34,Sun 18/04/21,6:00 PM,Sint-Truiden,(15.),RSC Anderlecht,(4.),x,0:1,Clear or mostly clear,13.6
Jupiler Pro League Champions' Play-Offs,1,Sun 02/05/21,6:30 PM,Club Brugge,(2.),RSC Anderlecht,(4.),x,2:2,Clear or mostly clear,9.4
Jupiler Pro League Champions' Play-Offs,2,Sat 08/05/21,8:45 PM,RSC Anderlecht,(3.),Royal Antwerp,(4.),x,2:2,Partly cloudy,17.5
Jupiler Pro League Champions' Play-Offs,3,Wed 12/05/21,8:45 PM,Genk,(2.),RSC Anderlecht,(3.),x,1:1,Clear or mostly clear,14.7
Jupiler Pro League Champions' Play-Offs,4,Sat 15/05/21,8:45 PM,RSC Anderlecht,(3.),Genk,(2.),x,1:2,Drizzle,12.1
Jupiler Pro League Champions' Play-Offs,5,Thu 20/05/21,9:00 PM,RSC Anderlecht,(3.),Club Brugge,(1.),x,3:3,Partly cloudy,13.9
Jupiler Pro League Champions' Play-Offs,6,Sun 23/05/21,6:30 PM,Royal Antwerp,(4.),RSC Anderlecht,(3.),x,1:0,Partly cloudy,14.8
Jupiler Pro League,1,Sun 25/07/21,6:30 PM,RSC Anderlecht,(3.),Union SG,(1.),8.000,1:3,Clear or mostly clear,22.5
Jupiler Pro League,2,Sat 31/07/21,8:45 PM,KAS Eupen,(12.),RSC Anderlecht,(16.),1.450,1:1,None,None
UEFA Conference League Qualifiers,3rd round 1st leg,Thu 05/08/21,7:00 PM,KF Laçi,,RSC Anderlecht,,980,0:3,None,None
Jupiler Pro League,3,Sun 08/08/21,6:30 PM,RSC Anderlecht,(17.),RFC Seraing,(9.),8.000,3:0,Drizzle,17.1
UEFA Conference League Qualifiers,3rd round 2nd leg,Thu 12/08/21,8:00 PM,RSC Anderlecht,,KF Laçi,,6.000,2:1,Partly cloudy,22.8
Jupiler Pro League,4,Sun 15/08/21,6:30 PM,Cercle Brugge,(7.),RSC Anderlecht,(8.),3.000,1:2,Clear or mostly clear,22.1
UEFA Conference League Qualifiers,Qualifying Round 1st leg,Thu 19/08/21,8:00 PM,RSC Anderlecht,,Vitesse,,8.700,3:3,Partly cloudy,18.0
