Competition,Matchday,Date,Time,Home Team,Ranking Home Team,Away Team,Ranking Away Team,Attendance,Result,Weather,Temperature (°C)
Croky Cup,Sixth Round,Thu 26/09/19,8:30 PM,Standard Liège,,Lommel SK,,7.269,2:1,Drizzle,17.4
Jupiler Pro League,9,Sun 29/09/19,6:00 PM,Standard Liège,(1.),R Charleroi SC,(8.),22.667,1:1,Drizzle,17.6
UEFA Europa League,Group F,Thu 03/10/19,9:00 PM,Arsenal,,Standard Liège,,58.725,4:0,None,None
Jupiler Pro League,10,Sun 06/10/19,6:00 PM,Royal Antwerp,(3.),Standard Liège,(2.),12.978,2:2,Partly cloudy,13.7
Jupiler Pro League,11,Sat 19/10/19,6:00 PM,Standard Liège,(2.),Genk,(5.),26.876,1:0,Partly cloudy,12.5
UEFA Europa League,Group F,Thu 24/10/19,9:00 PM,Frankfurt,,Standard Liège,,47.000,2:1,None,None
Jupiler Pro League,12,Sun 27/10/19,2:30 PM,Club Brugge,(1.),Standard Liège,(2.),25.400,1:1,Partly cloudy,11.4
Jupiler Pro League,13,Wed 30/10/19,8:30 PM,Standard Liège,(2.),Waasland-Beveren,(15.),25.536,2:0,Partly cloudy,4.9
Jupiler Pro League,14,Sun 03/11/19,6:00 PM,KAA Gent,(5.),Standard Liège,(2.),19.441,3:1,Drizzle,10.8
UEFA Europa League,Group F,Thu 07/11/19,6:55 PM,Standard Liège,,Frankfurt,,18.526,2:1,Partly cloudy,7.5
Jupiler Pro League,15,Sun 10/11/19,8:00 PM,Standard Liège,(2.),KV Mechelen,(5.),26.987,1:2,Clear or mostly clear,4.4
Jupiler Pro League,16,Sat 23/11/19,6:00 PM,KAS Eupen,(12.),Standard Liège,(3.),7.463,1:2,None,None
UEFA Europa League,Group F,Thu 28/11/19,9:00 PM,Vit. Guimarães,,Standard Liège,,11.221,1:1,None,None
Jupiler Pro League,17,Sun 01/12/19,6:00 PM,Standard Liège,(2.),Cercle Brugge,(16.),26.592,2:1,Drizzle,2.8
Croky Cup,Round of 16,Wed 04/12/19,8:00 PM,Standard Liège,,RUS Rebecq,,9.041,3:0,Clear or mostly clear,1.2
Jupiler Pro League,18,Sun 08/12/19,2:30 PM,Mouscron,(10.),Standard Liège,(2.),5.346,2:2,None,None
UEFA Europa League,Group F,Thu 12/12/19,6:55 PM,Standard Liège,,Arsenal,,21.797,2:2,Partly cloudy,4.2
Jupiler Pro League,19,Sun 15/12/19,2:30 PM,Standard Liège,(3.),RSC Anderlecht,(11.),26.972,1:1,Partly cloudy,8.5
Croky Cup,Quarter-Finals,Wed 18/12/19,8:45 PM,Standard Liège,,Royal Antwerp,,12.000,1:3,Clear or mostly clear,8.0
Jupiler Pro League,20,Sat 21/12/19,8:30 PM,Waasland-Beveren,(15.),Standard Liège,(5.),4.000,2:1,None,None
Jupiler Pro League,21,Thu 26/12/19,8:30 PM,Standard Liège,(5.),KAA Gent,(4.),26.761,0:1,Partly cloudy,5.5
Jupiler Pro League,22,Fri 17/01/20,8:30 PM,KV Mechelen,(6.),Standard Liège,(5.),16.200,2:3,Clear or mostly clear,6.8
Jupiler Pro League,23,Fri 24/01/20,8:30 PM,Standard Liège,(5.),KV Oostende,(15.),26.402,2:1,Clear or mostly clear,0.4
Jupiler Pro League,24,Fri 31/01/20,8:30 PM,KV Kortrijk,(12.),Standard Liège,(5.),7.333,3:1,None,None
Jupiler Pro League,25,Wed 12/02/20,8:30 PM,Standard Liège,(5.),Club Brugge,(1.),27.145,0:0,Clear or mostly clear,3.8
Jupiler Pro League,26,Sun 16/02/20,6:00 PM,Genk,(6.),Standard Liège,(5.),20.108,1:3,Partly cloudy,16.3
Jupiler Pro League,27,Sat 22/02/20,6:00 PM,Standard Liège,(5.),Royal Antwerp,(4.),27.143,1:0,Drizzle,9.4
Jupiler Pro League,28,Sun 01/03/20,6:00 PM,R Charleroi SC,(4.),Standard Liège,(3.),13.304,2:0,Drizzle,6.2
Jupiler Pro League,29,Sat 07/03/20,8:00 PM,Standard Liège,(5.),Sint-Truiden,(12.),16.544,0:0,Partly cloudy,7.2
Jupiler Pro League,1,Sat 08/08/20,7:00 PM,Standard Liège,(6.),Cercle Brugge,(16.),x,1:0,Clear or mostly clear,34.5
Jupiler Pro League,2,Mon 17/08/20,7:00 PM,Waasland-Beveren,(1.),Standard Liège,(6.),x,1:2,None,None
Jupiler Pro League,3,Sun 23/08/20,1:30 PM,Standard Liège,(2.),Genk,(6.),x,0:0,Drizzle,19.6
Jupiler Pro League,4,Sun 30/08/20,4:00 PM,Beerschot VA,(1.),Standard Liège,(3.),x,0:3,None,None
Jupiler Pro League,5,Sat 12/09/20,6:30 PM,OH Leuven,(9.),Standard Liège,(2.),2.000,1:0,Partly cloudy,20.4
UEFA Europa League Qualifying,Second Round,Thu 17/09/20,8:00 PM,Standard Liège,,Bala,,x,2:0,Clear or mostly clear,17.1
Jupiler Pro League,6,Sun 20/09/20,4:00 PM,Standard Liège,(3.),KV Kortrijk,(4.),6.723,2:1,Clear or mostly clear,24.9
UEFA Europa League Qualifying,Third Round,Thu 24/09/20,8:00 PM,Standard Liège,,Vojvodina,,x,2:1AET,Drizzle,15.4
Jupiler Pro League,7,Sun 27/09/20,1:30 PM,Standard Liège,(2.),Zulte Waregem,(14.),6.578,2:2,Partly cloudy,15.4
UEFA Europa League Qualifying,Qualifying Round,Thu 01/10/20,8:00 PM,Standard Liège,,Fehérvár,,x,3:1,Partly cloudy,11.6
Jupiler Pro League,8,Sun 04/10/20,6:15 PM,R Charleroi SC,(1.),Standard Liège,(4.),5.261,1:2,Partly cloudy,12.4
Jupiler Pro League,9,Sat 17/10/20,8:45 PM,Standard Liège,(3.),Club Brugge,(2.),10.000,1:1,Partly cloudy,8.7
UEFA Europa League,Group D,Thu 22/10/20,6:55 PM,Standard Liège,,Rangers,,2.880,0:2,Rainy,15.9
Jupiler Pro League,10,Sun 25/10/20,6:15 PM,Sint-Truiden,(17.),Standard Liège,(4.),x,2:0,Drizzle,11.3
UEFA Europa League,Group D,Thu 29/10/20,9:00 PM,Benfica,,Standard Liège,,5.000,3:0,None,None
Jupiler Pro League,11,Sun 01/11/20,6:15 PM,Standard Liège,(5.),KV Oostende,(10.),x,1:0,Partly cloudy,17.1
UEFA Europa League,Group D,Thu 05/11/20,6:55 PM,Lech Poznan,,Standard Liège,,x,3:1,None,None
Jupiler Pro League,12,Sun 08/11/20,1:30 PM,Royal Antwerp,(5.),Standard Liège,(3.),x,1:1,Partly cloudy,15.6
Jupiler Pro League,13,Sat 21/11/20,4:15 PM,Standard Liège,(5.),KAS Eupen,(13.),x,2:2,Clear or mostly clear,8.3
UEFA Europa League,Group D,Thu 26/11/20,9:00 PM,Standard Liège,,Lech Poznan,,x,2:1,Clear or mostly clear,5.1
Jupiler Pro League,14,Sun 29/11/20,6:15 PM,RSC Anderlecht,(8.),Standard Liège,(5.),x,0:0,Partly cloudy,2.7
UEFA Europa League,Group D,Thu 03/12/20,9:00 PM,Rangers,,Standard Liège,,x,3:2,None,None
Jupiler Pro League,15,Sun 06/12/20,6:15 PM,Standard Liège,(5.),KV Mechelen,(15.),x,2:2,Partly cloudy,2.6
UEFA Europa League,Group D,Thu 10/12/20,6:55 PM,Standard Liège,,Benfica,,x,2:2,Clear or mostly clear,1.7
Jupiler Pro League,16,Sun 13/12/20,6:15 PM,KAA Gent,(13.),Standard Liège,(6.),x,2:1,Partly cloudy,6.5
Jupiler Pro League,18,Wed 16/12/20,9:00 PM,KV Kortrijk,(12.),Standard Liège,(8.),x,2:1,None,None
Jupiler Pro League,17,Sun 20/12/20,6:15 PM,Standard Liège,(8.),Mouscron,(17.),x,0:1,Clear or mostly clear,8.9
Jupiler Pro League,19,Sat 26/12/20,8:45 PM,Standard Liège,(9.),Sint-Truiden,(17.),x,1:2,Partly cloudy,3.8
Jupiler Pro League,30,Mon 11/01/21,8:45 PM,Standard Liège,(12.),Waasland-Beveren,(18.),x,3:1,Partly cloudy,2.9
Jupiler Pro League,20,Sun 17/01/21,4:00 PM,Cercle Brugge,(16.),Standard Liège,(11.),x,0:1,Partly cloudy,6.3
Jupiler Pro League,25,Wed 20/01/21,6:45 PM,KV Mechelen,(8.),Standard Liège,(9.),x,0:4,Partly cloudy,10.1
Jupiler Pro League,21,Sun 24/01/21,6:15 PM,Standard Liège,(9.),R Charleroi SC,(4.),x,3:2,Partly cloudy,1.6
Jupiler Pro League,22,Thu 28/01/21,9:00 PM,KV Oostende,(7.),Standard Liège,(8.),x,2:2,None,None
Jupiler Pro League,23,Sun 31/01/21,1:30 PM,Club Brugge,(1.),Standard Liège,(8.),x,3:1,Partly cloudy,0.8
Croky Cup,Sixth Round,Wed 03/02/21,7:00 PM,RFC Seraing,,Standard Liège,,x,1:4,None,None
Jupiler Pro League,24,Sat 06/02/21,8:45 PM,Standard Liège,(8.),OH Leuven,(11.),x,1:1,Rainy,4.9
Croky Cup,Round of 16,Tue 09/02/21,8:45 PM,KV Kortrijk,,Standard Liège,,x,6:7on pens,None,None
Jupiler Pro League,26,Sun 14/02/21,1:30 PM,Standard Liège,(8.),Royal Antwerp,(2.),x,1:1,Partly cloudy,3.7
Jupiler Pro League,27,Sun 21/02/21,4:00 PM,Zulte Waregem,(12.),Standard Liège,(8.),x,3:2,Clear or mostly clear,16.0
Jupiler Pro League,28,Sun 28/02/21,1:30 PM,Standard Liège,(11.),RSC Anderlecht,(4.),x,1:3,Clear or mostly clear,8.7
Croky Cup,Quarter-Finals,Thu 04/03/21,8:45 PM,Standard Liège,,Club Brugge,,x,1:0,Drizzle,4.5
Jupiler Pro League,29,Sun 07/03/21,1:30 PM,Mouscron,(17.),Standard Liège,(11.),x,1:0,None,None
Croky Cup,Semi-Finals,Sat 13/03/21,8:45 PM,KAS Eupen,,Standard Liège,,x,0:1,None,None
Jupiler Pro League,31,Fri 19/03/21,8:45 PM,Genk,(3.),Standard Liège,(12.),x,2:2,Partly cloudy,4.4
Jupiler Pro League,32,Sun 04/04/21,6:15 PM,Standard Liège,(12.),KAA Gent,(9.),x,2:1,Partly cloudy,8.4
Jupiler Pro League,33,Fri 09/04/21,8:45 PM,KAS Eupen,(13.),Standard Liège,(9.),x,0:4,None,None
Jupiler Pro League,34,Sun 18/04/21,6:00 PM,Standard Liège,(7.),Beerschot VA,(6.),x,3:0,Partly cloudy,12.9
Croky Cup,Final,Sun 25/04/21,8:45 PM,Standard Liège,,Genk,,x,1:2,Clear or mostly clear,9.6
Jupiler Pro League Europe Play-Offs,1,Sat 01/05/21,8:45 PM,KV Oostende,(3.),Standard Liège,(4.),x,6:2,None,None
Jupiler Pro League Europe Play-Offs,2,Sat 08/05/21,6:30 PM,Standard Liège,(4.),KAA Gent,(2.),x,2:1,Partly cloudy,18.2
Jupiler Pro League Europe Play-Offs,3,Thu 13/05/21,4:00 PM,Standard Liège,(3.),KV Mechelen,(2.),x,1:2,Drizzle,13.7
Jupiler Pro League Europe Play-Offs,4,Sun 16/05/21,4:00 PM,KV Mechelen,(1.),Standard Liège,(4.),x,3:1,Drizzle,11.5
Jupiler Pro League Europe Play-Offs,5,Wed 19/05/21,9:00 PM,KAA Gent,(2.),Standard Liège,(4.),x,2:0,Clear or mostly clear,10.3
Jupiler Pro League Europe Play-Offs,6,Sat 22/05/21,8:00 PM,Standard Liège,(4.),KV Oostende,(3.),x,1:3,Drizzle,11.1
Jupiler Pro League,1,Fri 23/07/21,8:45 PM,Standard Liège,(14.),Genk,(8.),9.000,1:1,Partly cloudy,22.0
