Competition,Matchday,Date,Time,Home Team,Ranking Home Team,Away Team,Ranking Away Team,Attendance,Result,Weather,Temperature (°C)
Jupiler Pro League,17,Sun 20/12/20,1:30 PM,Club Brugge,(1.),KAA Gent,(12.),x,0:1,Partly cloudy,9.4
Jupiler Pro League,19,Sat 26/12/20,6:30 PM,KV Kortrijk,(11.),KAA Gent,(8.),x,1:0,None,None
Jupiler Pro League,30,Sun 10/01/21,4:00 PM,Beerschot VA,(5.),KAA Gent,(10.),x,1:1,None,None
Jupiler Pro League,20,Sun 17/01/21,1:30 PM,KAA Gent,(10.),Royal Antwerp,(5.),x,0:1,Drizzle,5.6
Jupiler Pro League,25,Thu 21/01/21,9:00 PM,Genk,(3.),KAA Gent,(10.),x,1:1,Rainy,6.6
Jupiler Pro League,21,Sun 24/01/21,8:45 PM,OH Leuven,(8.),KAA Gent,(12.),x,0:3,Snowy,1.6
Jupiler Pro League,22,Wed 27/01/21,9:00 PM,KAA Gent,(10.),Sint-Truiden,(15.),x,1:1,Partly cloudy,7.0
Jupiler Pro League,23,Sun 31/01/21,6:15 PM,RSC Anderlecht,(5.),KAA Gent,(10.),x,0:0,Drizzle,3.0
Croky Cup,Sixth Round,Wed 03/02/21,6:00 PM,KAA Gent,,Heur Tongeren,,x,5:0,Rainy,9.3
Jupiler Pro League,24,Sun 07/02/21,8:45 PM,KAA Gent,(9.),KAS Eupen,(16.),x,2:2,Partly cloudy,-3.9
Croky Cup,Round of 16,Thu 11/02/21,6:00 PM,KAA Gent,,R Charleroi SC,,x,3:1,Clear or mostly clear,-1.5
Jupiler Pro League,26,Mon 15/02/21,8:45 PM,KAA Gent,(11.),Mouscron,(16.),x,4:0,Partly cloudy,5.2
Jupiler Pro League,27,Fri 19/02/21,8:45 PM,KV Mechelen,(10.),KAA Gent,(11.),x,1:1,Partly cloudy,9.3
Croky Cup,Quarter-Finals,Wed 03/03/21,6:00 PM,KAS Eupen,,KAA Gent,,x,1:0,None,None
Jupiler Pro League,29,Mon 08/03/21,8:45 PM,KAA Gent,(12.),KV Oostende,(5.),x,1:0,Partly cloudy,5.3
Jupiler Pro League,28,Mon 15/03/21,8:45 PM,KAA Gent,(12.),Club Brugge,(1.),x,0:4,Partly cloudy,5.8
Jupiler Pro League,31,Sun 21/03/21,8:45 PM,KAA Gent,(11.),Cercle Brugge,(17.),x,1:0,Partly cloudy,5.8
Jupiler Pro League,32,Sun 04/04/21,6:15 PM,Standard Liège,(12.),KAA Gent,(9.),x,2:1,Partly cloudy,8.4
Jupiler Pro League,33,Sat 10/04/21,8:45 PM,KAA Gent,(10.),R Charleroi SC,(11.),x,4:0,Drizzle,6.5
Jupiler Pro League,34,Sun 18/04/21,6:00 PM,Zulte Waregem,(8.),KAA Gent,(9.),x,2:7,Clear or mostly clear,11.3
Jupiler Pro League Europe Play-Offs,1,Sun 02/05/21,4:00 PM,KAA Gent,(1.),KV Mechelen,(2.),x,2:2,Drizzle,10.2
Jupiler Pro League Europe Play-Offs,2,Sat 08/05/21,6:30 PM,Standard Liège,(4.),KAA Gent,(2.),x,2:1,Partly cloudy,18.2
Jupiler Pro League Europe Play-Offs,3,Thu 13/05/21,1:30 PM,KAA Gent,(4.),KV Oostende,(1.),x,2:1,Drizzle,16.3
Jupiler Pro League Europe Play-Offs,4,Sun 16/05/21,1:30 PM,KV Oostende,(2.),KAA Gent,(3.),x,0:4,None,None
Jupiler Pro League Europe Play-Offs,5,Wed 19/05/21,9:00 PM,KAA Gent,(2.),Standard Liège,(4.),x,2:0,Clear or mostly clear,10.3
Jupiler Pro League Europe Play-Offs,6,Sat 22/05/21,8:00 PM,KV Mechelen,(2.),KAA Gent,(1.),x,1:2,Drizzle,10.7
UEFA Conference League Qualifiers,Second Round 1st leg,Thu 22/07/21,8:30 PM,KAA Gent,,Vålerenga,,3.823,4:0,Clear or mostly clear,20.8
Jupiler Pro League,1,Sun 25/07/21,9:00 PM,Sint-Truiden,(9.),KAA Gent,(5.),2.000,2:1,Drizzle,19.5
UEFA Conference League Qualifiers,Second Round 2nd leg,Thu 29/07/21,7:00 PM,Vålerenga,,KAA Gent,,2.000,2:0,None,None
Jupiler Pro League,2,Sun 01/08/21,6:30 PM,KAA Gent,(14.),Beerschot VA,(15.),5.250,2:2,Rainy,17.1
UEFA Conference League Qualifiers,3rd round 1st leg,Thu 05/08/21,8:30 PM,KAA Gent,,RFS,,3.887,2:2,Partly cloudy,20.9
Jupiler Pro League,3,Sun 08/08/21,9:00 PM,KV Oostende,(10.),KAA Gent,(14.),2.443,1:0,None,None
UEFA Conference League Qualifiers,3rd round 2nd leg,Thu 12/08/21,7:00 PM,RFS,,KAA Gent,,1.507,0:1,None,None
Jupiler Pro League,4,Sun 15/08/21,4:00 PM,KAA Gent,(17.),KV Mechelen,(14.),14.604,2:0,Partly cloudy,25.3
UEFA Conference League Qualifiers,Qualifying Round 1st leg,Thu 19/08/21,6:00 PM,Raków,,KAA Gent,,7.411,1:0,None,None
UEFA Conference League Qualifiers,Qualifying Round 2nd leg,Thu 26/08/21,8:00 PM,KAA Gent,,Raków,,15.338,3:0,Partly cloudy,15.8
Jupiler Pro League,6,Sun 29/08/21,1:30 PM,KAA Gent,(13.),Club Brugge,(1.),16.000,6:1,Partly cloudy,18.3
Jupiler Pro League,7,Sun 12/09/21,4:00 PM,KAA Gent,(10.),R Charleroi SC,(7.),16.379,2:3,Drizzle,19.5
UEFA Conference League,Group B,Thu 16/09/21,6:45 PM,FC Flora,,KAA Gent,,2.666,0:1,None,None
Jupiler Pro League,8,Sun 19/09/21,9:00 PM,KV Kortrijk,(9.),KAA Gent,(13.),5.053,1:0,None,None
Jupiler Pro League,5,Thu 23/09/21,8:45 PM,RSC Anderlecht,(6.),KAA Gent,(12.),19.000,1:1,Partly cloudy,18.2
Jupiler Pro League,9,Sun 26/09/21,4:00 PM,KAA Gent,(14.),Cercle Brugge,(15.),16.391,2:1,Drizzle,19.8
UEFA Conference League,Group B,Thu 30/09/21,6:45 PM,KAA Gent,,Anorthosis,,10.209,2:0,Partly cloudy,15.7
Jupiler Pro League,10,Sun 03/10/21,6:30 PM,Royal Antwerp,(4.),KAA Gent,(13.),14.706,1:0,Partly cloudy,11.9
Jupiler Pro League,11,Sun 17/10/21,9:00 PM,KAA Gent,(14.),KAS Eupen,(1.),16.125,2:0,Partly cloudy,11.9
UEFA Conference League,Group B,Thu 21/10/21,9:00 PM,Partizan,,KAA Gent,,12.000,0:1,None,None
Jupiler Pro League,12,Sun 24/10/21,6:30 PM,Genk,(6.),KAA Gent,(12.),15.296,0:3,Clear or mostly clear,11.4
Croky Cup,Sixth Round,Wed 27/10/21,8:00 PM,KAA Gent,,Belisia Bilzen,,5.579,4:0,Clear or mostly clear,12.7
Jupiler Pro League,13,Sun 31/10/21,9:00 PM,KAA Gent,(9.),Union SG,(1.),17.541,0:2,Clear or mostly clear,11.0
UEFA Conference League,Group B,Thu 04/11/21,6:45 PM,KAA Gent,,Partizan,,12.925,1:1,Rainy,8.7
Jupiler Pro League,14,Sun 07/11/21,4:00 PM,RFC Seraing,(16.),KAA Gent,(10.),1.500,0:0,None,None
Jupiler Pro League,15,Sat 20/11/21,6:30 PM,Zulte Waregem,(15.),KAA Gent,(10.),7.976,1:2,Partly cloudy,9.0
UEFA Conference League,Group B,Thu 25/11/21,9:00 PM,Anorthosis,,KAA Gent,,2.573,1:0,None,None
Jupiler Pro League,16,Sun 28/11/21,6:30 PM,KAA Gent,(7.),Standard Liège,(12.),18.120,3:1,Drizzle,2.9
Croky Cup,Round of 16,Wed 01/12/21,8:00 PM,Lommel SK,,KAA Gent,,,0:2,None,None
Jupiler Pro League,17,Sat 04/12/21,4:15 PM,OH Leuven,(13.),KAA Gent,(7.),4.047,0:1,Drizzle,5.9
UEFA Conference League,Group B,Thu 09/12/21,6:45 PM,KAA Gent,,FC Flora,,7.421,1:0,Partly cloudy,4.6
Jupiler Pro League,18,Sun 12/12/21,6:30 PM,KAA Gent,(6.),Genk,(8.),16.448,1:0,Partly cloudy,11.0
Jupiler Pro League,19,Wed 15/12/21,6:45 PM,KV Mechelen,(7.),KAA Gent,(6.),12.385,4:3,Partly cloudy,8.7
Jupiler Pro League,20,Sat 18/12/21,8:45 PM,KAA Gent,(6.),Sint-Truiden,(13.),16.485,2:1,Partly cloudy,6.9
Croky Cup,Quarter-Finals,Wed 22/12/21,8:30 PM,KAA Gent,,Standard Liège,,9.276,3:1,Partly cloudy,-0.2
Jupiler Pro League,21,Sun 26/12/21,6:30 PM,Union SG,(1.),KAA Gent,(6.),x,0:0,Rainy,6.9
Jupiler Pro League,22,Fri 14/01/22,8:45 PM,KAA Gent,(6.),KV Kortrijk,(8.),x,2:2,Partly cloudy,2.0
Jupiler Pro League,23,Sat 22/01/22,8:45 PM,R Charleroi SC,(6.),KAA Gent,(5.),x,0:0,Partly cloudy,3.0
Jupiler Pro League,24,Tue 25/01/22,9:00 PM,KAA Gent,(5.),KV Oostende,(15.),x,1:1,Partly cloudy,1.3
Jupiler Pro League,25,Sun 30/01/22,4:00 PM,KAA Gent,(5.),Royal Antwerp,(2.),14.000,0:1,Partly cloudy,6.3
Croky Cup,Semi-Finals 1st Leg,Wed 02/02/22,8:45 PM,KAA Gent,,Club Brugge,,10.000,0:1,Partly cloudy,9.0
Jupiler Pro League,26,Sun 06/02/22,1:30 PM,Club Brugge,(3.),KAA Gent,(6.),14.647,1:2,Rainy,9.0
Jupiler Pro League,27,Sat 12/02/22,4:15 PM,KAS Eupen,(15.),KAA Gent,(6.),2.000,0:1,None,None
Jupiler Pro League,28,Wed 23/02/22,6:45 PM,KAA Gent,(5.),RFC Seraing,(17.),16.469,4:0,Partly cloudy,10.2
Jupiler Pro League,29,Sun 27/02/22,6:30 PM,Standard Liège,(13.),KAA Gent,(5.),x,0:1,Clear or mostly clear,8.7
Croky Cup,Semi-Finals 2nd Leg,Wed 02/03/22,8:45 PM,Club Brugge,,KAA Gent,,18.000,0:3,Partly cloudy,6.2
Jupiler Pro League,30,Sun 06/03/22,9:00 PM,KAA Gent,(5.),Zulte Waregem,(15.),12.000,2:1,Clear or mostly clear,2.0
UEFA Conference League,last 16 1st leg,Thu 10/03/22,6:45 PM,PAOK,,KAA Gent,,9.098,1:0,None,None
Jupiler Pro League,31,Sun 13/03/22,6:30 PM,Beerschot VA,(18.),KAA Gent,(5.),x,0:2,None,None
UEFA Conference League,last 16 2nd leg,Thu 17/03/22,9:00 PM,KAA Gent,,PAOK,,12.388,1:2,Clear or mostly clear,4.8
Jupiler Pro League,32,Sun 20/03/22,6:30 PM,KAA Gent,(5.),RSC Anderlecht,(3.),19.999,1:0,Partly cloudy,7.6
Jupiler Pro League,33,Sun 03/04/22,4:00 PM,Cercle Brugge,(10.),KAA Gent,(4.),6.572,2:2,Drizzle,6.3
Jupiler Pro League,34,Sun 10/04/22,6:30 PM,KAA Gent,(5.),OH Leuven,(11.),19.524,5:0,Partly cloudy,11.9
Croky Cup,Final,Mon 18/04/22,3:00 PM,KAA Gent,,RSC Anderlecht,,42.500,4:3on pens,Partly cloudy,19.2
Jupiler Pro League Europe Play-Offs,1,Sun 24/04/22,4:00 PM,KAA Gent,(1.),Genk,(2.),8.474,0:1,Clear or mostly clear,18.6
Jupiler Pro League Europe Play-Offs,2,Sat 30/04/22,6:30 PM,R Charleroi SC,(4.),KAA Gent,(1.),4.985,1:3,Partly cloudy,10.8
Jupiler Pro League Europe Play-Offs,3,Sat 07/05/22,8:45 PM,KAA Gent,(1.),KV Mechelen,(3.),8.363,1:0,Clear or mostly clear,16.2
Jupiler Pro League Europe Play-Offs,4,Tue 10/05/22,6:45 PM,KV Mechelen,(3.),KAA Gent,(1.),8.213,1:2,Partly cloudy,22.6
Jupiler Pro League Europe Play-Offs,5,Sun 15/05/22,4:00 PM,Genk,(2.),KAA Gent,(1.),15.729,0:2,Partly cloudy,26.0
Jupiler Pro League Europe Play-Offs,6,Sat 21/05/22,8:45 PM,KAA Gent,(1.),R Charleroi SC,(3.),8.747,1:2,Clear or mostly clear,17.5
Volkswagen Supercup,Final,Sun 17/07/22,6:00 PM,Club Brugge,,KAA Gent,,18.166,1:0,Partly cloudy,26.3
Jupiler Pro League,1,Fri 22/07/22,8:45 PM,Standard Liège,(6.),KAA Gent,(5.),18.918,2:2,Partly cloudy,21.1
Jupiler Pro League,2,Sat 30/07/22,8:45 PM,KAA Gent,(9.),Sint-Truiden,(10.),9.500,1:1,Partly cloudy,23.5
Jupiler Pro League,3,Sun 07/08/22,4:00 PM,KAA Gent,(14.),KVC Westerlo,(9.),11.138,2:1,Clear or mostly clear,24.3
Jupiler Pro League,4,Fri 12/08/22,8:45 PM,KV Oostende,(5.),KAA Gent,(6.),4.568,1:3,None,None
UEFA Europa League Qualifying,Qualifying Round 1st leg,Thu 18/08/22,8:30 PM,KAA Gent,,Omonia Nicosia,,10.496,0:2,Clear or mostly clear,23.0
UEFA Europa League Qualifying,Qualifying Round 2nd leg,Thu 25/08/22,7:00 PM,Omonia Nicosia,,KAA Gent,,17.002,2:0,None,None
Jupiler Pro League,6,Sun 28/08/22,1:30 PM,KAA Gent,(3.),Royal Antwerp,(1.),13.246,1:2,Clear or mostly clear,22.3
Jupiler Pro League,5,Thu 01/09/22,8:30 PM,RSC Anderlecht,(2.),KAA Gent,(4.),17.500,0:1,Partly cloudy,22.5
Jupiler Pro League,7,Sun 04/09/22,6:30 PM,R Charleroi SC,(8.),KAA Gent,(5.),6.427,2:1,Partly cloudy,25.6
UEFA Conference League,Group F,Thu 08/09/22,9:00 PM,Molde FK,,KAA Gent,,4.158,0:0,None,None
Jupiler Pro League,8,Sun 11/09/22,9:00 PM,KAA Gent,(7.),Zulte Waregem,(17.),9.800,2:0,Clear or mostly clear,16.6
UEFA Conference League,Group F,Thu 15/09/22,6:45 PM,KAA Gent,,Shamrock Rovers,,7.813,3:0,Clear or mostly clear,16.7
Jupiler Pro League,9,Sun 18/09/22,1:30 PM,Genk,(3.),KAA Gent,(5.),15.185,1:0,Drizzle,12.2
Jupiler Pro League,10,Sun 02/10/22,4:00 PM,KAA Gent,(7.),Cercle Brugge,(17.),14.741,3:4,Clear or mostly clear,15.4
UEFA Conference League,Group F,Thu 06/10/22,9:00 PM,KAA Gent,,Djurgården,,10.896,0:1,Clear or mostly clear,12.3
Jupiler Pro League,11,Sun 09/10/22,4:00 PM,KAS Eupen,(15.),KAA Gent,(9.),2.044,0:4,None,None
UEFA Conference League,Group F,Thu 13/10/22,6:45 PM,Djurgården,,KAA Gent,,16.822,4:2,None,None
Jupiler Pro League,12,Sun 16/10/22,4:00 PM,KAA Gent,(8.),KV Mechelen,(12.),20.076,3:0,Partly cloudy,16.1
Jupiler Pro League,13,Wed 19/10/22,6:30 PM,Union SG,(4.),KAA Gent,(6.),7.316,2:0,Partly cloudy,17.9
Jupiler Pro League,14,Sun 23/10/22,4:00 PM,KAA Gent,(6.),RFC Seraing,(15.),12.606,2:1,Partly cloudy,18.8
UEFA Conference League,Group F,Thu 27/10/22,9:00 PM,Shamrock Rovers,,KAA Gent,,6.203,1:1,None,None
Jupiler Pro League,15,Sun 30/10/22,6:30 PM,OH Leuven,(8.),KAA Gent,(6.),7.851,1:1,Partly cloudy,18.2
UEFA Conference League,Group F,Thu 03/11/22,6:45 PM,KAA Gent,,Molde FK,,13.172,4:0,Rainy,12.2
Jupiler Pro League,16,Sun 06/11/22,1:30 PM,KAA Gent,(6.),Club Brugge,(3.),18.418,2:0,Rainy,10.3
Croky Cup,Sixth Round,Wed 09/11/22,8:30 PM,Dessel Sport,,KAA Gent,,,0:5,None,None
Jupiler Pro League,17,Sun 13/11/22,9:00 PM,KV Kortrijk,(16.),KAA Gent,(6.),4.642,0:4,None,None
Croky Cup,Round of 16,Tue 20/12/22,8:00 PM,KAA Gent,,Cercle Brugge,,8.429,2:0AET,Rainy,9.4
Jupiler Pro League,18,Fri 23/12/22,8:30 PM,KAA Gent,(5.),Standard Liège,(6.),12.247,0:0,Partly cloudy,11.4
Jupiler Pro League,19,Sat 07/01/23,8:45 PM,Royal Antwerp,(3.),KAA Gent,(5.),14.000,2:0,Partly cloudy,10.2
Croky Cup,Quarter-Finals,Thu 12/01/23,8:45 PM,Union SG,,KAA Gent,,5.308,4:0,Drizzle,10.0
Jupiler Pro League,20,Sun 15/01/23,4:00 PM,KAA Gent,(5.),KV Kortrijk,(15.),12.565,2:1,Partly cloudy,6.9
Jupiler Pro League,21,Thu 19/01/23,6:30 PM,KAA Gent,(5.),R Charleroi SC,(11.),9.124,0:0,Partly cloudy,2.6
Jupiler Pro League,22,Sun 22/01/23,9:00 PM,Sint-Truiden,(7.),KAA Gent,(5.),3.500,0:3,Partly cloudy,0.4
Jupiler Pro League,23,Sun 29/01/23,4:00 PM,Cercle Brugge,(10.),KAA Gent,(4.),4.560,3:2,Partly cloudy,6.2
Jupiler Pro League,24,Sun 05/02/23,6:30 PM,KAA Gent,(5.),Genk,(1.),14.933,2:3,Partly cloudy,6.8
Jupiler Pro League,25,Sat 11/02/23,4:00 PM,KVC Westerlo,(7.),KAA Gent,(5.),6.000,3:3,Drizzle,8.1
UEFA Conference League,intermediate stage 1st leg,Thu 16/02/23,6:45 PM,Qarabağ,,KAA Gent,,25.452,1:0,None,None
Jupiler Pro League,26,Sun 19/02/23,4:00 PM,KAA Gent,(5.),OH Leuven,(11.),12.289,2:0,Drizzle,9.2
UEFA Conference League,intermediate stage 2nd leg,Thu 23/02/23,9:00 PM,KAA Gent,,Qarabağ,,10.968,6:3on pens,Partly cloudy,6.7
Jupiler Pro League,27,Sun 26/02/23,1:30 PM,Club Brugge,(4.),KAA Gent,(5.),22.000,2:0,Clear or mostly clear,4.1
Jupiler Pro League,28,Sun 05/03/23,6:30 PM,KAA Gent,(5.),RSC Anderlecht,(9.),17.470,1:0,Partly cloudy,4.4
UEFA Conference League,last 16 1st leg,Thu 09/03/23,9:00 PM,KAA Gent,,Basaksehir,,11.334,1:1,Drizzle,10.5
Jupiler Pro League,29,Sun 12/03/23,4:00 PM,Zulte Waregem,(17.),KAA Gent,(5.),7.094,2:6,Partly cloudy,12.7
UEFA Conference League,last 16 2nd leg,Wed 15/03/23,6:00 PM,Basaksehir,,KAA Gent,,8.000,1:4,None,None
Jupiler Pro League,30,Sun 19/03/23,7:15 PM,KAA Gent,(5.),KAS Eupen,(15.),12.253,3:0,Partly cloudy,8.9
Jupiler Pro League,31,Sat 01/04/23,6:15 PM,RFC Seraing,(18.),KAA Gent,(4.),1.800,0:5,None,None
Jupiler Pro League,32,Sat 08/04/23,8:45 PM,KAA Gent,(4.),Union SG,(2.),17.200,1:1,Partly cloudy,10.8
UEFA Conference League,Quarter-Finals 1st leg,Thu 13/04/23,6:45 PM,KAA Gent,,West Ham,,19.037,1:1,Clear or mostly clear,11.7
Jupiler Pro League,33,Sun 16/04/23,4:00 PM,KV Mechelen,(13.),KAA Gent,(4.),11.877,1:1,Partly cloudy,9.8
UEFA Conference League,Quarter-Finals 2nd leg,Thu 20/04/23,9:00 PM,West Ham,,KAA Gent,,53.475,4:1,None,None
Jupiler Pro League,34,Sun 23/04/23,6:30 PM,KAA Gent,(4.),KV Oostende,(17.),16.302,1:2,Rainy,11.7
Jupiler Pro League Europe Play-Offs,1,Fri 28/04/23,8:45 PM,KAA Gent,(1.),KVC Westerlo,(3.),7.880,3:1,Partly cloudy,13.6
Jupiler Pro League Europe Play-Offs,2,Sat 06/05/23,8:45 PM,Standard Liège,(2.),KAA Gent,(1.),16.764,1:2,Partly cloudy,16.7
Jupiler Pro League Europe Play-Offs,3,Sat 13/05/23,6:15 PM,Cercle Brugge,(2.),KAA Gent,(1.),4.305,0:4,Clear or mostly clear,13.7
Jupiler Pro League Europe Play-Offs,4,Sat 20/05/23,8:45 PM,KAA Gent,(1.),Cercle Brugge,(3.),11.470,2:2,Partly cloudy,17.9
Jupiler Pro League Europe Play-Offs,5,Sat 27/05/23,6:15 PM,KVC Westerlo,(2.),KAA Gent,(1.),4.416,1:3,Clear or mostly clear,22.0
Jupiler Pro League Europe Play-Offs,6,Sat 03/06/23,8:30 PM,KAA Gent,(1.),Standard Liège,(4.),12.842,3:1,Clear or mostly clear,20.4
UEFA Conference League Qualifiers,Second Round 1st leg,Thu 27/07/23,8:00 PM,KAA Gent,,MSK Zilina,,8.904,5:1,Partly cloudy,18.4
Jupiler Pro League,1,Sun 30/07/23,4:00 PM,KAA Gent,(7.),KV Kortrijk,(15.),12.593,3:2,Partly cloudy,21.1
UEFA Conference League Qualifiers,Second Round 2nd leg,Thu 03/08/23,8:00 PM,MSK Zilina,,KAA Gent,,6.224,2:5,None,None
Jupiler Pro League,2,Sun 06/08/23,4:00 PM,KV Mechelen,(10.),KAA Gent,(4.),11.234,0:1,Drizzle,14.7
UEFA Conference League Qualifiers,3rd round 1st leg,Wed 09/08/23,6:00 PM,KAA Gent,,Pogon Szczecin,,11.326,5:0,Clear or mostly clear,19.5
Jupiler Pro League,3,Sun 13/08/23,7:15 PM,KVC Westerlo,(11.),KAA Gent,(2.),6.000,1:3,Partly cloudy,21.4
UEFA Conference League Qualifiers,3rd round 2nd leg,Thu 17/08/23,6:00 PM,Pogon Szczecin,,KAA Gent,,11.549,2:1,None,None
Jupiler Pro League,4,Sun 20/08/23,4:00 PM,KAA Gent,(2.),Sint-Truiden,(6.),13.195,2:2,Partly cloudy,25.7
UEFA Conference League Qualifiers,Qualifying Round 1st leg,Thu 24/08/23,8:00 PM,KAA Gent,,APOEL Nicosia,,10.880,2:0,Clear or mostly clear,23.5
UEFA Conference League Qualifiers,Qualifying Round 2nd leg,Thu 31/08/23,7:00 PM,APOEL Nicosia,,KAA Gent,,17.000,1:2,None,None
Jupiler Pro League,6,Sun 03/09/23,1:30 PM,KAA Gent,(4.),Club Brugge,(3.),19.999,2:1,Partly cloudy,23.1
Jupiler Pro League,7,Sun 17/09/23,6:30 PM,OH Leuven,(12.),KAA Gent,(1.),7.338,1:1,Partly cloudy,23.8
UEFA Conference League,Group B,Thu 21/09/23,9:00 PM,Zorya Lugansk,,KAA Gent,,539,1:1,None,None
Jupiler Pro League,8,Sun 24/09/23,7:15 PM,KAA Gent,(1.),KAS Eupen,(10.),13.445,2:1,Clear or mostly clear,17.2
Jupiler Pro League,5,Wed 27/09/23,8:45 PM,Royal Antwerp,(5.),KAA Gent,(2.),13.077,0:0,Partly cloudy,20.2
Jupiler Pro League,9,Sun 01/10/23,7:15 PM,RWDM,(9.),KAA Gent,(1.),6.100,1:1,None,None
UEFA Conference League,Group B,Thu 05/10/23,6:45 PM,KAA Gent,,M. Tel Aviv,,10.626,2:0,Partly cloudy,17.2
Jupiler Pro League,10,Sun 08/10/23,6:30 PM,KAA Gent,(2.),Genk,(6.),16.406,1:1,Partly cloudy,21.4
Jupiler Pro League,11,Sun 22/10/23,4:00 PM,Cercle Brugge,(6.),KAA Gent,(3.),5.428,2:0,Clear or mostly clear,14.5
UEFA Conference League,Group B,Thu 26/10/23,6:45 PM,KAA Gent,,Breidablik,,9.907,5:0,Partly cloudy,12.4
Jupiler Pro League,12,Sun 29/10/23,6:30 PM,KAA Gent,(3.),Standard Liège,(8.),16.679,3:1,Drizzle,12.7
Croky Cup,Seventh Round,Wed 01/11/23,7:00 PM,Patro Eisden,,KAA Gent,,,1:3,None,None
Jupiler Pro League,13,Sun 05/11/23,7:15 PM,R Charleroi SC,(11.),KAA Gent,(3.),7.916,1:3,Partly cloudy,9.6
UEFA Conference League,Group B,Thu 09/11/23,9:00 PM,Breidablik,,KAA Gent,,1.211,2:3,None,None
Jupiler Pro League,14,Sun 12/11/23,6:30 PM,KAA Gent,(3.),RSC Anderlecht,(2.),19.690,1:1,Partly cloudy,6.7
Jupiler Pro League,15,Sun 26/11/23,1:30 PM,KAA Gent,(3.),Union SG,(1.),18.007,1:1,Partly cloudy,6.3
UEFA Conference League,Group B,Thu 30/11/23,6:45 PM,KAA Gent,,Zorya Lugansk,,10.304,4:1,Partly cloudy,1.6
Jupiler Pro League,16,Sun 03/12/23,1:30 PM,Genk,(6.),KAA Gent,(3.),18.319,2:2,Partly cloudy,1.2
